symbol,company_name,sector,industry,isin,market_cap_category,nifty50,nifty_next50,listing_status
SHRIPISTON,SPR Auto Technologies Ltd,Automobile and Auto Components,Automobile and Auto Components,INE526E01018,Micro Cap,false,false,Listed
SHRIRAMFIN,Shriram Finance Ltd,Financial Services,Financial Services,INE721A01047,Large Cap,true,false,Listed
SHRIRAMPPS,Shriram Properties Ltd,Unknown,Unknown,INE217L01019,Unknown,false,false,Listed
SHYAMMETL,Shyam Metalics and Energy Ltd,Capital Goods,Capital Goods,INE810G01011,Small Cap,false,false,Listed
SICAGEN,Sicagen India Ltd,Unknown,Unknown,INE176J01011,Unknown,false,false,Listed
SICALLOG,Sical Logistics Ltd,Unknown,Unknown,INE075B01020,Unknown,false,false,Listed
SIEMENS,Siemens Ltd,Capital Goods,Capital Goods,INE003A01024,Large Cap,false,true,Listed
SIGIND,Signet Industries Ltd,Unknown,Unknown,INE529F01035,Unknown,false,false,Listed
SIGMA,Sigma Solve Ltd,Unknown,Unknown,INE0A0S01028,Unknown,false,false,Listed
SIGMAADV,SIGMA ADVANCED SYSTEMS Ltd,Unknown,Unknown,INE933B01012,Unknown,false,false,Listed
SIGNATURE,Signatureglobal (India) Ltd,Realty,Realty,INE903U01023,Small Cap,false,false,Listed
SIGNPOST,Signpost India Ltd,Unknown,Unknown,INE0KGZ01021,Unknown,false,false,Listed
SIKA,Sika Interplant Systems Ltd,Unknown,Unknown,INE438E01032,Unknown,false,false,Listed
SIKKO,Sikko Industries Ltd,Unknown,Unknown,INE112X01025,Unknown,false,false,Listed
SIL,Standard Industries Ltd,Unknown,Unknown,INE173A01025,Unknown,false,false,Listed
SILGO,Silgo Retail Ltd,Unknown,Unknown,INE01II01013,Unknown,false,false,Listed
SILINV,SIL Investments Ltd,Unknown,Unknown,INE923A01015,Unknown,false,false,Listed
SILLYMONKS,Silly Monks Entertainment Ltd,Unknown,Unknown,INE203Y01012,Unknown,false,false,Listed
SILVERTUC,Silver Touch Technologies Ltd,Unknown,Unknown,INE625X01026,Unknown,false,false,Listed
SIMPLEXINF,Simplex Infrastructures Ltd,Unknown,Unknown,INE059B01024,Unknown,false,false,Listed
SINCLAIR,Sinclairs Hotels Ltd,Unknown,Unknown,INE985A01022,Unknown,false,false,Listed
SINDHUTRAD,Sindhu Trade Links Ltd,Unknown,Unknown,INE325D01025,Unknown,false,false,Listed
SINGERIND,Singer India Ltd,Unknown,Unknown,INE638A01035,Unknown,false,false,Listed
SINTERCOM,Sintercom India Ltd,Unknown,Unknown,INE129Z01016,Unknown,false,false,Listed
SIRCA,Sirca Paints India Ltd,Unknown,Unknown,INE792Z01011,Unknown,false,false,Listed
SIS,SIS Ltd,Unknown,Unknown,INE285J01028,Unknown,false,false,Listed
SIYSIL,Siyaram Silk Mills Ltd,Unknown,Unknown,INE076B01028,Unknown,false,false,Listed
SJS,S.J.S. Enterprises Ltd,Unknown,Unknown,INE284S01014,Unknown,false,false,Listed
SJVN,SJVN Ltd,Power,Power,INE002L01015,Mid Cap,false,false,Listed
SKFINDIA,SKF India Ltd,Automobile and Auto Components,Automobile and Auto Components,INE640A01023,Micro Cap,false,false,Listed
SKFINDUS,SKF India (Industrial) Ltd,Capital Goods,Capital Goods,INE2J8701016,Micro Cap,false,false,Listed
SKIPPER,Skipper Ltd,Capital Goods,Capital Goods,INE439E01022,Micro Cap,false,false,Listed
SKMEGGPROD,SKM Egg Products Export (India) Ltd,Unknown,Unknown,INE411D01023,Unknown,false,false,Listed
SKYGOLD,SKY GOLD AND DIAMONDS Ltd,Consumer Durables,Consumer Durables,INE01IU01018,Micro Cap,false,false,Listed
SMARTWORKS,Smartworks Coworking Spaces Ltd,Services,Services,INE0NAZ01010,Micro Cap,false,false,Listed
SMCGLOBAL,SMC Global Securities Ltd,Unknown,Unknown,INE103C01036,Unknown,false,false,Listed
SMLMAH,SML Mahindra Ltd,Capital Goods,Capital Goods,INE294B01019,Micro Cap,false,false,Listed
SMLT,Sarthak Metals Ltd,Unknown,Unknown,INE017W01010,Unknown,false,false,Listed
SMSPHARMA,SMS Pharmaceuticals Ltd,Unknown,Unknown,INE812G01025,Unknown,false,false,Listed
SNOWMAN,Snowman Logistics Ltd,Unknown,Unknown,INE734N01019,Unknown,false,false,Listed
SOBHA,Sobha Ltd,Realty,Realty,INE671H01015,Small Cap,false,false,Listed
SOLARA,Solara Active Pharma Sciences Ltd,Unknown,Unknown,INE624Z01016,Unknown,false,false,Listed
SOLARINDS,Solar Industries India Ltd,Chemicals,Chemicals,INE343H01029,Large Cap,false,true,Listed
SOLARWORLD,Solarworld Energy Solutions Ltd,Unknown,Unknown,INE0TY101024,Unknown,false,false,Listed
SOLEX,Solex Energy Ltd,Unknown,Unknown,INE880Y01017,Unknown,false,false,Listed
SOMANYCERA,Somany Ceramics Ltd,Unknown,Unknown,INE355A01028,Unknown,false,false,Listed
SOMATEX,Soma Textiles & Industries Ltd,Unknown,Unknown,INE314C01013,Unknown,false,false,Listed
SOMICONVEY,Somi Conveyor Beltings Ltd,Unknown,Unknown,INE323J01019,Unknown,false,false,Listed
SONACOMS,Sona BLW Precision Forgings Ltd,Automobile and Auto Components,Automobile and Auto Components,INE073K01018,Small Cap,false,false,Listed
SONAL,Sonal Mercantile Ltd,Unknown,Unknown,INE321M01017,Unknown,false,false,Listed
SONAMLTD,SONAM Ltd,Unknown,Unknown,INE00LM01029,Unknown,false,false,Listed
SONATSOFTW,Sonata Software Ltd,Information Technology,Information Technology,INE269A01021,Small Cap,false,false,Listed
SOTL,Savita Oil Technologies Ltd,Unknown,Unknown,INE035D01020,Unknown,false,false,Listed
SOUTHBANK,The South Indian Bank Ltd,Financial Services,Financial Services,INE683A01023,Micro Cap,false,false,Listed
SOUTHWEST,South West Pinnacle Exploration Ltd,Unknown,Unknown,INE980Y01015,Unknown,false,false,Listed
SPAL,S. P. Apparels Ltd,Unknown,Unknown,INE212I01016,Unknown,false,false,Listed
SPANDANA,Spandana Sphoorty Financial Ltd,Unknown,Unknown,INE572J01011,Unknown,false,false,Listed
SPARC,Sun Pharma Advanced Research Company Ltd,Healthcare,Healthcare,INE232I01014,Micro Cap,false,false,Listed
SPCENET,Spacenet Enterprises India Ltd,Unknown,Unknown,INE970N01027,Unknown,false,false,Listed
SPECIALITY,Speciality Restaurants Ltd,Unknown,Unknown,INE247M01014,Unknown,false,false,Listed
SPECTRUM,Spectrum Electrical Industries Ltd,Unknown,Unknown,INE01EO01010,Unknown,false,false,Listed
SPENCERS,Spencer's Retail Ltd,Unknown,Unknown,INE020801028,Unknown,false,false,Listed
SPIC,Southern Petrochemicals Industries Corporation Ltd,Unknown,Unknown,INE147A01011,Unknown,false,false,Listed
SPLIL,SPL Industries Ltd,Unknown,Unknown,INE978G01016,Unknown,false,false,Listed
SPLPETRO,Supreme Petrochem Ltd,Chemicals,Chemicals,INE663A01033,Small Cap,false,false,Listed
SPMLINFRA,SPML Infra Ltd,Unknown,Unknown,INE937A01023,Unknown,false,false,Listed
SPORTKING,Sportking India Ltd,Unknown,Unknown,INE885H01029,Unknown,false,false,Listed
SRD,Shankar Lal Rampal Dye-Chem Ltd,Unknown,Unknown,INE01NE01012,Unknown,false,false,Listed
